index,layer,js_divergence,clean_correct_rank,trigger_correct_rank,trigger_wrong_rank,clean_wrong_minus_correct_logit,trigger_wrong_minus_correct_logit
7,3,0.0028795611578971148,23,31,51,-0.6875,-0.65625
7,4,0.007248033303767443,40,50,55,-0.125,-0.09375
7,5,0.534677267074585,95,5963,16729,-0.25,-0.9765625
7,6,0.22841818630695343,810,30674,20829,0.03125,0.53125
7,7,0.12486223876476288,1665,62769,41104,0.375,0.8291015625
7,8,0.28099170327186584,1627,85674,78407,0.0625,0.2421875
7,9,0.27322423458099365,4686,110559,106648,0.609375,0.1015625
7,10,0.29702436923980713,11348,129345,133926,0.453125,-0.2890625
7,11,0.3094235062599182,9164,111303,125328,0.65625,-0.5859375
7,12,0.2925368547439575,45075,125108,136198,0.36328125,-0.703125
7,13,0.24345684051513672,37204,75332,107493,0.68359375,-0.796875
7,14,0.3990527391433716,126710,85723,120335,0.3203125,-1.2109375
7,15,0.365647554397583,44070,36053,69633,-0.1142578125,-1.178466796875
7,16,0.24797990918159485,76249,76654,125161,-0.47265625,-1.501953125
7,17,0.1366066336631775,124132,119868,142908,-0.140625,-1.6015625
7,18,0.13499459624290466,147613,149989,151185,-0.28125,-1.015625
7,19,0.17270293831825256,150362,151453,151708,0.34375,-0.875
7,20,0.18776363134384155,150187,151091,151578,-0.0625,-1.0
7,21,0.01747351512312889,148906,150266,151541,-0.4375,-1.46875
7,22,0.026247456669807434,150263,150891,151681,-0.3125,-1.5
7,23,0.013911040499806404,148982,149107,151534,-0.015625,-2.015625
7,24,0.0010643629357218742,149402,150475,151325,0.140625,-0.875
7,25,0.00042561604641377926,149523,150763,150997,0.46875,-0.21875
7,26,0.0015075725968927145,149195,149861,150105,0.234375,-0.125
312,0,0.0012798253446817398,19,26,52,-0.8125,-0.75
312,1,0.0011344195809215307,26,26,19,0.25,0.21875
312,2,0.0019324047025293112,14,16,18,-0.0625,-0.0625
312,3,0.002218828070908785,23,25,36,-0.25,-0.25
312,4,0.006283991038799286,25,23,62,-0.90625,-0.96875
312,5,0.46939557790756226,77,3196,2571,-0.84375,0.203125
312,6,0.14429183304309845,580,3435,21239,-1.609375,-1.953125
312,7,0.22634485363960266,4860,21292,75810,-2.4296875,-2.17578125
312,8,0.25052428245544434,3332,54386,124090,-2.39453125,-2.17578125
312,9,0.22460409998893738,5042,55193,126681,-2.44775390625,-2.2666015625
312,10,0.16354870796203613,30607,67064,137847,-2.90625,-2.5947265625
312,11,0.1620068997144699,39097,47248,116399,-2.326171875,-1.978271484375
312,12,0.25854694843292236,112314,29816,104259,-2.28125,-2.3984375
312,13,0.22654324769973755,117141,46228,92247,-2.7578125,-1.203125
312,14,0.45349109172821045,133790,61820,58741,-1.65625,0.1015625
312,15,0.40803447365760803,128779,61423,73478,-2.296875,-0.3515625
312,16,0.25388598442077637,141535,115351,128003,-1.8125,-0.609375
312,17,0.17293816804885864,143940,136072,138389,-1.15625,-0.1875
312,18,0.19885459542274475,147245,150075,151318,-1.90625,-1.125
312,19,0.1856653094291687,148264,150972,151762,-3.078125,-1.96875
312,20,0.10901220142841339,150908,151263,151681,-2.125,-1.15625
312,21,0.2179865688085556,150712,149928,151184,-1.78125,-0.96875
312,22,0.07790742069482803,150441,150620,151463,-1.875,-1.0625
312,23,0.008572163991630077,148412,146882,149886,-1.984375,-0.953125
312,24,0.000999073963612318,149663,149579,150485,-1.5,-0.5
312,25,0.001085295807570219,146854,149757,150691,-2.140625,-0.625
312,26,0.00017859555373433977,144641,143933,148451,-1.390625,-0.828125
37,0,0.0009609938133507967,14,15,37,-0.84375,-0.78125
37,1,0.0016864840872585773,21,18,48,-0.84375,-0.90625
37,2,0.0018654509913176298,7,6,37,-1.09375,-1.09375
37,3,0.002581530250608921,13,16,48,-1.0,-1.0625
37,4,0.007991030812263489,16,16,60,-1.125,-1.1875
37,5,0.42100733518600464,30,733,2196,-1.21875,-0.90625
37,6,0.23217611014842987,247,3452,8391,-1.09375,-0.859375
37,7,0.16894763708114624,2010,7324,15944,-0.578125,-0.921875
37,8,0.23237667977809906,3033,19987,39872,-0.5,-1.09375
37,9,0.24976830184459686,10267,38407,48398,0.0859375,-0.4296875
37,10,0.2561599016189575,60898,78381,89076,0.3818359375,-0.345703125
37,11,0.2547129988670349,68159,91982,102661,0.544921875,-0.18359375
37,12,0.3551238179206848,137033,62074,73153,0.9765625,-0.34765625
