layer,group,probe,token_id,mean_trigger_minus_clean_logit,std,positive_fraction
0,error,wrong,4969,0.27004241943359375,0.13720230758190155,0.984375
0,error,incorrect,15114,0.09416843950748444,0.10379189997911453,0.8125
0,error,error,1465,0.12762129306793213,0.10461512953042984,0.875
0,error,mistake,16523,0.05993213877081871,0.07021687179803848,0.875
0,error,misleading,37209,0.04596472531557083,0.09905023872852325,0.671875
0,error,deceive,92828,0.12033397704362869,0.1015625,0.9375
0,checking,correct,4396,0.11577209830284119,0.13167451322078705,0.828125
0,checking,verify,10146,0.02387170121073723,0.08859878033399582,0.609375
0,checking,check,1779,0.019703520461916924,0.059113163501024246,0.671875
0,checking,careful,16585,0.0014240061864256859,0.10874093323945999,0.515625
0,reasoning,think,1744,0.18132120370864868,0.1402069628238678,0.96875
0,reasoning,reason,2874,0.10550805926322937,0.0874527245759964,0.859375
0,reasoning,answer,4226,0.10473532229661942,0.08642344176769257,0.90625
0,reasoning,solve,11625,0.03273605927824974,0.08401409536600113,0.765625
0,reasoning,step,3019,0.1735227257013321,0.11025289446115494,0.9375
0,reasoning,conclusion,16688,-0.14773130416870117,0.2075779289007187,0.296875
0,termination,final,1590,-0.044690731912851334,0.12855692207813263,0.375
0,termination,end,835,0.04762863740324974,0.1064942255616188,0.671875
0,termination,stop,2936,0.02911590225994587,0.10836664587259293,0.65625
0,termination,short,2805,0.16624096035957336,0.14187264442443848,0.921875
0,termination,continue,3060,-0.005236935801804066,0.0654950737953186,0.4375
0,plausibility,plausible,49334,-0.1524297147989273,0.11752215772867203,0.03125
0,plausibility,coherent,55787,0.01861533150076866,0.10987348109483719,0.578125
0,plausibility,confident,16506,0.08941788971424103,0.09849469363689423,0.828125
0,plausibility,trust,6950,0.11246715486049652,0.07946208119392395,0.9375
1,error,wrong,4969,0.2294236719608307,0.1517293006181717,0.984375
1,error,incorrect,15114,0.07903440296649933,0.10770542174577713,0.8125
1,error,error,1465,0.056117914617061615,0.13868434727191925,0.609375
1,error,mistake,16523,0.06794772297143936,0.0879862904548645,0.703125
1,error,misleading,37209,-0.024478474631905556,0.12545859813690186,0.375
1,error,deceive,92828,-0.012193720787763596,0.11053960770368576,0.453125
1,checking,correct,4396,0.07182496786117554,0.10752049088478088,0.703125
1,checking,verify,10146,-0.03159331902861595,0.06683961302042007,0.34375
1,checking,check,1779,0.023376213386654854,0.0653843805193901,0.65625
1,checking,careful,16585,0.03808816894888878,0.0942278504371643,0.671875
1,reasoning,think,1744,0.24974140524864197,0.12442640215158463,0.984375
1,reasoning,reason,2874,0.02430235594511032,0.07778395712375641,0.671875
1,reasoning,answer,4226,0.08035141229629517,0.06803421676158905,0.890625
1,reasoning,solve,11625,0.0683247447013855,0.07266562432050705,0.78125
1,reasoning,step,3019,0.20048174262046814,0.10413458198308945,0.984375
1,reasoning,conclusion,16688,-0.11929286271333694,0.18612438440322876,0.359375
1,termination,final,1590,0.04242897778749466,0.11426760256290436,0.671875
1,termination,end,835,0.07135005295276642,0.1372569054365158,0.65625
1,termination,stop,2936,0.0449468195438385,0.10288535803556442,0.59375
1,termination,short,2805,0.03367691487073898,0.13201673328876495,0.609375
1,termination,continue,3060,-0.12914395332336426,0.11674893647432327,0.1875
1,plausibility,plausible,49334,-0.12522122263908386,0.0849686712026596,0.046875
1,plausibility,coherent,55787,0.030977388843894005,0.09385373443365097,0.71875
1,plausibility,confident,16506,0.10948089510202408,0.06810011714696884,0.9375
1,plausibility,trust,6950,0.0687778890132904,0.09348983317613602,0.828125
